; Rank;Company;Country;Sales;Assets;Market Value;Sector;Industry;Snippet
0;1;ICBC;China;151.4;3473.2;229.8;Financials;Major Banks;Die Industrial and Commercial Bank of China Limited gilt als die größte Bank in der Volksrepublik Chi…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Industrial and Commercial Bank of China Limited gilt als die größte Bank in der Volksrepublik China und führt regelmäßig auch globale Rankings an. Auf Basis der gewichteten Methode der Forbes Global 2000-Auswertung stand sie beispielsweise im Jahr 2019 auf Platz 1 der größten börsennotierten Unternehmen der Welt. Die gesamte Marktkapitalisierung der Bank belief sich Anfang 2019 auf 305 Mrd. US-Dollar, womit sie zu den wertvollsten weltweit gehört. Mit rund 4 Bio. US-Dollar ist die Bank die größte der Welt nach Bilanzsumme.
1;2;China Construction Bank;China;134.2;3016.6;200.5;Financials;Regional Banks;Die China Construction Bank ist eine der vier großen Geschäftsbanken der Volksrepublik China. Seit November 2015 gehört sie nach Einschätzung des Finanzstabilitätsrates zu den global systemrelevanten Banken. Die Bilanzsumme der Bank betrug 201…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie China Construction Bank ist eine der vier großen Geschäftsbanken der Volksrepublik China. Seit November 2015 gehört sie nach Einschätzung des Finanzstabilitätsrates zu den global systemrelevanten Banken. Die Bilanzsumme der Bank betrug 2019 3.822 Milliarden US-Dollar.
2;3;Berkshire Hathaway;United States;222.9;620.9;409.9;Financials;Investment Services;05.06.2020 · BERKSHIRE HATHAWAY AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Berkshire Hathaway Inc. B | A0YJQ2 | BRK.B | US0846707026
3;4;JPMorgan Chase;United States;102.5;2513;306.6;Financials;Major Banks;JPMorgan Chase & Co.'s website terms, privacy and security policies don't apply to the site or app you're about to visit. Please review its website terms, privacy and security policies to see how they apply to you. JPMorgan Chase & Co. isn't responsible for (and doesn't provide) any products, services or content at this third-party site or app, except for products and services that explicitly ...
4;5;Wells Fargo;United States;97.6;1943.4;274.4;Financials;Major Banks;https://www.wellsfargo.comWells Fargo does not endorse and is not responsible for their content, links, privacy, or security policies. Investment products and services are offered through Wells Fargo Advisors. Wells Fargo Advisors is a trade name used by Wells Fargo Clearing Services, LLC (WFCS) and Wells Fargo Advisors Financial Network, LLC, Members SIPC , separate registered broker-dealers and non-bank affiliates of ...
5;6;Agricultural Bank of China;China;115.7;2816;149.2;Financials;Regional Banks;https://www.finanzen.net/aktien/agricultural_bank_of_china_(a)-aktie10.06.2021 · AGRICULTURAL BANK OF CHINA (A) AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Agricultural Bank of China (A) | A1C2NS | CNE100000RJ0
6;7;Bank of America;United States;92.2;2196.8;231.9;Financials;Major Banks;https://www.bankofamerica.comBank of America Private Bank is a division of Bank of America, N.A., Member FDIC and a wholly owned subsidiary of Bank of America Corporation. Trust and fiduciary services are provided by Bank of America, N.A. and U.S. Trust Company of Delaware. Both are indirect subsidiaries of Bank of America Corporation. Insurance Products are offered through Merrill Lynch Life Agency Inc. (MLLA) and/or ...
7;8;Bank of China;China;113.1;2611.5;141.3;Financials;Major Banks;https://www.bankofchina.com/de/deBank of China, Frankfurt Branch Bockenheimer Landstr. 24, 60323 Frankfurt. Karriere: Über Uns [Karriere ] Relationship Manager (Munich Branch,Sept.2020) [Karriere ] Operator in Clearing Abteilung (Frankfurt Branch,Sept.2020) [Karriere ] Customer Service (Munich Branch,Sept.2020) [Karriere ] Credit Analyst for Due Diligence Team (Frankfurt, Sept. 2... Mehr > Berichte : Mehr ...
8;9;Apple;United States;217.5;331.1;752;Information Technology;Computer Hardware;https://www.apple.com/deApple Footer. 1. Finanzierung über Kreditrahmen; Nettodarlehensbetrag bonitätsabhängig. Gebundener Sollzinssatz von 0,00 % (jährlich) gilt nur für diesen Einkauf für 24 Monate ab Vertragsschluss (Erstverfügung); danach sowie für weitere Verfügungen als die Apple Finanzierung (Folgeverfügungen) beträgt der veränderliche Sollzinssatz 14,84 % (jährlich), effektiver Jahreszinssatz 15 ...
9;10;Toyota Motor;Japan;249.9;412.5;171.9;Consumer Discretionary;Auto & Truck Manufacturers;05.06.2020 · TOYOTA MOTOR AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Toyota Motor Corp. | 853510 | TOYOF | JP3633400001
